match_id,date,team1,team2,venue,team1_winrate,team2_winrate,team1_form5,team2_form5,team1_form10,team2_form10,h2h_team1,team1_matches,team2_matches,venue_team1_wr,both_have_history,team1_won
352674,2009-03-15,West Indies,England,"Queen's Park Oval, Port of Spain",0.375,0.42857142857142855,0.4,0.6,0.375,0.5,0.5,8,14,0.5,1,1
350475,2009-03-27,South Africa,Australia,New Wanderers Stadium,0.5333333333333333,0.6111111111111112,0.4,0.8,0.6,0.6,0.25,15,18,0.7142857142857143,1,1
350476,2009-03-29,South Africa,Australia,SuperSport Park,0.5625,0.5789473684210527,0.6,0.6,0.6,0.6,0.4,16,19,0.5,1,1
392615,2009-05-07,Australia,Pakistan,Dubai International Cricket Stadium,0.55,0.8333333333333334,0.6,0.6,0.5,0.8,0.0,20,12,0.5,1,0
355991,2009-06-05,England,Netherlands,Lord's,0.4,1.0,0.6,1.0,0.5,1.0,0.5,15,1,0.5,1,0
355992,2009-06-06,New Zealand,Scotland,Kennington Oval,0.42105263157894735,0.3333333333333333,0.6,0.3333333333333333,0.3,0.3333333333333333,0.5,19,3,0.5,1,1
355993,2009-06-06,Australia,West Indies,Kennington Oval,0.5238095238095238,0.4444444444444444,0.4,0.6,0.5,0.4444444444444444,0.0,21,9,0.5,1,0
355994,2009-06-06,Bangladesh,India,Trent Bridge,0.2222222222222222,0.6363636363636364,0.0,0.4,0.2222222222222222,0.6,0.5,9,11,0.5,1,0
355995,2009-06-07,Scotland,South Africa,Kennington Oval,0.25,0.5882352941176471,0.25,0.6,0.25,0.6,0.5,4,17,0.0,1,0
355996,2009-06-07,England,Pakistan,Kennington Oval,0.375,0.8461538461538461,0.6,0.6,0.4,0.8,0.0,16,13,0.5,1,1
355998,2009-06-08,Australia,Sri Lanka,Trent Bridge,0.5,0.5454545454545454,0.2,0.4,0.5,0.5,1.0,22,11,0.5,1,0
355997,2009-06-08,Bangladesh,Ireland,Trent Bridge,0.2,1.0,0.0,1.0,0.2,1.0,0.5,10,1,0.0,1,0
355999,2009-06-09,Netherlands,Pakistan,Lord's,1.0,0.7857142857142857,1.0,0.6,1.0,0.7,0.5,2,14,1.0,1,0
356000,2009-06-09,New Zealand,South Africa,Lord's,0.45,0.6111111111111112,0.8,0.6,0.4,0.6,0.3333333333333333,20,18,0.5,1,0
356001,2009-06-10,India,Ireland,Trent Bridge,0.6666666666666666,1.0,0.4,1.0,0.7,1.0,0.5,12,2,1.0,1,1
356002,2009-06-10,Sri Lanka,West Indies,Trent Bridge,0.5833333333333334,0.5,0.4,0.6,0.5,0.5,0.5,12,10,1.0,1,1
356003,2009-06-11,Ireland,New Zealand,Trent Bridge,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.6,0.6666666666666666,0.4,0.5,3,21,0.5,1,0
